route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"SB",3,190,"Wall St./Pier 11 Limited",3205,1,32,80
"SB",3,191,"Wall St./Pier 11 Limited",3207,1,32,80
"SB",3,192,"Wall St./Pier 11 Limited",3209,1,32,80
"SB",3,193,"Corlears Hook",3306,1,33,105
"SB",3,194,"Corlears Hook",3402,1,34,105
"SB",3,195,"Corlears Hook",3107,1,31,105
"SB",3,196,"Corlears Hook",3211,1,32,105
"SB",3,197,"Corlears Hook",3308,1,33,105
"SB",3,198,"Corlears Hook",3404,1,34,105
"SB",3,199,"Corlears Hook",3109,1,31,105
"SB",3,200,"Corlears Hook",3213,1,32,105
"SB",3,201,"Corlears Hook",3310,1,33,105
"SB",3,202,"Corlears Hook",3406,1,34,105
"SB",3,203,"Corlears Hook",3111,1,31,105
"SB",3,204,"Corlears Hook",3215,1,32,105
"SB",3,205,"Corlears Hook",3312,1,33,105
"SB",3,206,"Corlears Hook",3408,1,34,105
"SB",3,207,"Corlears Hook",3113,1,31,105
"SB",3,208,"Corlears Hook",3217,1,32,105
"SB",3,209,"Corlears Hook",3314,1,33,105
"SB",3,210,"Corlears Hook",3410,1,34,105
"SB",3,211,"Corlears Hook",3115,1,31,105
"SB",3,212,"Corlears Hook",3316,1,33,105
"RES",3,213,"Rockaway",10103,0,101,44
"RES",3,214,"Rockaway",10105,0,101,44
"RES",3,215,"Rockaway",10107,0,101,44
"RES",3,216,"Rockaway",10109,0,101,44
"RES",3,217,"Rockaway",10111,0,101,44
"RES",3,218,"Rockaway",10113,0,101,44
"RES",3,219,"Rockaway",10115,0,101,44
"RES",3,220,"Rockaway",10117,0,101,44
"RES",3,221,"Rockaway",10201,0,102,44
"RES",3,222,"Rockaway",10119,0,101,44
"RES",3,223,"Rockaway",10203,0,102,44
"RES",3,224,"Rockaway",10121,0,101,44
"RES",3,225,"Rockaway",10205,0,102,44
"RES",3,226,"Rockaway",10123,0,101,44
"RES",3,227,"Rockaway",10207,0,102,44
"RES",3,228,"Rockaway",10125,0,101,44
"RES",3,229,"Rockaway",10209,0,102,44
"RES",3,230,"Rockaway",10127,0,101,44
"RES",3,231,"Rockaway East",10106,1,101,132
"RES",3,232,"Rockaway East",10108,1,101,132
"RES",3,233,"Rockaway East",10110,1,101,132
"RES",3,234,"Rockaway East",10112,1,101,132
"RES",3,235,"Rockaway East",10114,1,101,132
"RES",3,236,"Rockaway East",10116,1,101,132
"RES",3,237,"Rockaway East",10118,1,101,132
"RES",3,238,"Rockaway East",10202,1,102,132
"RES",3,239,"Rockaway East",10120,1,101,132
"RES",3,240,"Rockaway East",10204,1,102,132
"RES",3,241,"Rockaway East",10122,1,101,132
"RES",3,242,"Rockaway East",10206,1,102,132
"RES",3,243,"Rockaway East",10124,1,101,132
"RES",3,244,"Rockaway East",10208,1,102,132
"RES",3,245,"Rockaway East",10126,1,101,132
"RES",3,246,"Rockaway East",10210,1,102,132
"RES",3,247,"Rockaway East",10128,1,101,132
"RES",3,248,"Rockaway East",10129,1,101,132
"RWS",3,249,"Rockaway",20109,0,201,27
"RWS",3,250,"Rockaway",20111,0,201,27
"RWS",3,251,"Rockaway",20113,0,201,27
"RWS",3,252,"Rockaway",20115,0,201,27
"RWS",3,253,"Rockaway",20117,0,201,27
"RWS",3,254,"Rockaway",20119,0,201,27
"RWS",3,255,"Rockaway",20121,0,201,27
"RWS",3,256,"Rockaway",20123,0,201,27
"RWS",3,257,"Rockaway",20125,0,201,27
"RWS",3,258,"Rockaway",20127,0,201,27
"RWS",3,259,"Rockaway",20129,0,201,27
"RWS",3,260,"Rockaway",20131,0,201,27
"RWS",3,261,"Rockaway",20133,0,201,27
"RWS",3,262,"Rockaway",20135,0,201,27
"RWS",3,263,"Rockaway",20137,0,201,27
"RWS",3,264,"Rockaway West",20102,1,201,35
"RWS",3,265,"Rockaway West",20104,1,201,35
"RWS",3,266,"Rockaway West",20106,1,201,35
"RWS",3,267,"Rockaway West",20108,1,201,35
"RWS",3,268,"Rockaway West",20110,1,201,35
"RWS",3,269,"Rockaway West",20112,1,201,35
"RWS",3,270,"Rockaway West",20114,1,201,35
"RWS",3,271,"Rockaway West",20116,1,201,35
"RWS",3,272,"Rockaway West",20118,1,201,35
"RWS",3,273,"Rockaway West",20120,1,201,35
"RWS",3,274,"Rockaway West",20122,1,201,35
"RWS",3,275,"Rockaway West",20124,1,201,35
"RWS",3,276,"Rockaway West",20126,1,201,35
"RWS",3,277,"Rockaway West",20128,1,201,35
"RWS",3,278,"Rockaway West",20130,1,201,35
"RWS",3,279,"Rockaway West",20132,1,201,35
"RWS",3,280,"Rockaway West",20134,1,201,35
"RWS",3,281,"Rockaway West",20136,1,201,35
"RWS",3,282,"Rockaway West",20138,1,201,35
"RWS",3,283,"Rockaway West",20139,1,201,35
"ER",1,595,"Hunters Point South",1102,1,11,82
"ER",1,596,"Hunters Point South",1202,1,12,82
"ER",1,597,"Hunters Point South",1303,1,13,82
"ER",1,598,"Hunters Point South",1403,1,14,82
"ER",1,599,"Hunters Point South",1503,1,15,82
"ER",1,600,"Hunters Point South",1104,1,11,82
"ER",1,623,"Hunters Point South",1204,1,12,82
"ER",1,624,"Hunters Point South",1305,1,13,82
"ER",1,625,"Hunters Point South",1505,1,15,82
"ER",1,626,"Hunters Point South",1106,1,11,82
"ER",1,627,"Hunters Point South",1307,1,13,82
"ER",1,628,"Hunters Point South",1507,1,15,82
"ER",1,629,"Hunters Point South",1108,1,11,82
"ER",1,630,"Hunters Point South",1309,1,13,82
"ER",1,631,"Hunters Point South",1509,1,15,82
